distance_m,distance_earth_radii,earth_solid_angle_sr,earth_hemisphere_fraction,earth_ir_irradiance_w_m2,temperature_equal_area_kirchhoff_k,temperature_sphere_like_k,temperature_mismatch_stress_k
29427508.02348165,4.618977872152197,0.1490180795461897,0.023716963969837357,5.668354388791129,99.99109273932524,70.70437973422983,177.8121014056345
29768379.087619025,4.672481413846967,0.14558461842130388,0.02317051165989792,5.5377522867156035,99.41008545314396,70.29354554225226,176.77890811153574
30113198.603058275,4.726604709316947,0.14223119330153847,0.02263679747579872,5.410194596715895,98.83261521904096,69.88521242378464,175.75200468432
30462012.306353018,4.781354937427879,0.13895589533307537,0.022115517614018976,5.2856087097505355,98.25865571149164,69.47936176387003,174.731344309849
30814866.463842224,4.83673936020126,0.1357568632183834,0.02160637583985603,5.1639238257255915,97.6881809434313,69.07597518687875,173.71688077586057
31171807.87778728,4.89276532377763,0.13263228193507315,0.021109083283524784,5.045070904762424,97.1211652580994,68.67503455074142,172.70856845746573
31532883.89257965,4.9494402593909355,0.1295803814938539,0.020623358242480405,4.9289826199528175,96.55758332115695,68.27652194137517,171.70636230313113
31898142.40102036,5.0067716843541605,0.12659943573419058,0.020148925989741162,4.815593311548138,95.99741011306791,67.88041966729638,170.71021782113093
32267631.85067288,5.064767203056487,0.12368776115628512,0.0196855185879925,4.704838942530208,95.44062092172908,67.48671025440932,169.72009106644086
32641401.250288885,5.1234345079718855,0.12084371578812254,0.01923287470927182,4.596657055515966,94.88719133534457,67.09537644096756,168.73593862806692
33019500.176308878,5.182781380679466,0.11806569808632503,0.018790739460033956,4.490986730948116,94.33709723553169,66.70640117269916,167.75771761678578
33401978.779437672,5.24281569289557,0.1153521458696356,0.018358864211409864,4.387768546526958,93.79031479065021,66.31976759808971,166.78538565328233
33788887.79129677,5.3035454075179365,0.11270153528389465,0.017937006434477487,4.28694453784012,93.24682044934609,65.93545906381705,165.81890085666853
34180278.53115314,5.364978579681862,0.11011237979742838,0.01752492954037288,4.188458160149119,92.70659093430255,65.55345911033264,164.8582218333713
34576202.91272596,5.4271233578285925,0.10758322922579899,0.01712240272507437,4.092254251292775,92.1696032361896,65.17375146758323,163.90330766637285
34976713.451072805,5.489987984786188,0.10511266878491601,0.01672920081870055,3.9982789956694322,91.63583460780389,64.79632005086704,162.9541179047898
35381863.26955494,5.553580798862807,0.10269931817155811,0.016345104139170785,3.906479889261818,91.10526255839383,64.42114895682114,162.01061255378175
35791706.106883705,5.617910234952708,0.1003418306703735,0.015969898350079892,3.8168057056690947,90.5778648481608,64.04822245953312,161.07275206477266
36206296.32424803,5.682984825655004,0.09803889228648668,0.015603374322648245,3.7292064631129307,90.05361948293239,63.67752500677448,160.14049732597866
36625688.91252535,5.748813202405485,0.0957892209028435,0.015245328001609049,3.643633392384563,89.53250470899708,63.309041216348334,159.2138096532224
37049939.4995753,5.815404096621457,0.09359156546150368,0.014895560274907016,3.5600389057027773,89.0144990081001,62.94275587255079,158.29265078103452
